Winner,First Dragon,First Inhibitor,First Rift Herald,First Baron Nashor,First Tower,Barons,Dragons,Vision Score,Towers Taken,Time of CC Dealt,Kills,Assists,Deaths,Creep Score,Gold
True,True,True,False,True,True,1,3,165,7,74,28,55,16,545,51962
False,False,False,False,False,False,0,0,70,0,73,9,10,22,264,25522
True,False,False,False,False,False,0,0,98,0,47,20,29,5,387,36566
True,True,False,True,True,True,1,2,87,4,56,13,20,17,359,32351
False,True,False,True,True,True,1,2,80,4,59,15,14,21,363,31922
False,False,False,False,False,True,0,0,54,1,37,4,3,10,324,24624
True,False,False,False,False,True,0,0,68,1,14,12,13,5,372,30248
True,False,True,True,True,True,1,2,131,11,108,23,56,13,336,44365
False,False,True,True,True,True,1,2,111,11,91,14,18,22,600,38778
True,True,True,True,False,True,0,1,67,9,59,27,25,11,482,39175
False,True,True,True,False,True,0,1,55,9,28,9,15,22,405,27851
True,False,True,False,False,True,0,0,15,5,19,2,7,3,177,14562
False,False,True,False,False,True,0,0,2,5,2,0,0,2,68,8361
False,False,False,True,False,False,0,0,53,0,8,6,7,12,454,25305
True,False,False,True,False,False,0,0,87,0,45,12,10,8,517,33762
False,False,False,False,False,False,0,0,112,3,79,21,41,35,341,42502
True,False,False,False,False,False,0,0,160,3,93,29,52,29,525,50668
True,True,False,True,False,True,0,2,94,3,58,14,26,10,354,31910
False,True,False,True,False,True,0,2,53,3,74,6,17,14,351,26956
True,True,True,False,True,False,1,3,135,11,96,23,32,13,465,43078
False,True,True,False,True,False,1,3,116,11,78,10,17,20,425,34670
False,False,False,True,False,False,0,0,103,2,51,11,18,17,358,31755
True,False,False,True,False,False,0,0,94,2,53,15,25,12,524,39771
True,True,True,True,False,True,0,3,144,9,117,24,51,10,437,45036
False,True,True,True,False,True,0,3,85,9,47,11,16,28,512,36476
True,False,True,True,True,False,1,1,75,9,60,27,43,18,312,43496
False,False,True,True,True,False,1,1,90,9,54,20,20,29,521,39343
True,False,False,True,False,True,1,2,129,9,148,38,64,32,612,63496
False,False,False,True,False,True,1,2,228,9,161,39,63,31,567,58996
False,True,True,False,False,False,0,2,132,5,60,27,40,36,429,46369
True,True,True,False,False,False,0,2,148,5,56,34,65,21,563,55749
False,False,False,True,False,False,0,0,55,0,24,2,3,13,300,19944
True,False,False,True,False,False,0,0,92,0,58,11,21,6,436,29171
False,True,False,False,False,False,0,2,127,0,62,18,31,23,418,39851
True,True,False,False,False,False,0,2,128,0,92,27,31,16,640,51869
False,False,False,True,False,False,0,0,67,0,77,11,8,27,314,28765
True,False,False,True,False,False,0,0,127,0,77,29,40,11,341,43255
True,False,True,False,False,False,1,3,138,8,47,34,38,15,709,58525
False,False,True,False,False,False,1,3,111,8,29,17,19,29,651,48558
True,False,True,True,True,True,1,3,141,8,71,25,26,13,680,51262
False,False,True,True,True,True,1,3,130,8,115,10,27,22,752,44098
False,False,False,False,False,False,0,2,224,2,88,41,79,26,798,63868
True,False,False,False,False,False,0,2,220,2,76,34,37,43,761,74563
False,False,False,True,False,False,0,1,80,1,66,8,20,19,273,27070
True,False,False,True,False,False,0,1,90,1,74,17,34,11,374,36342
True,True,True,True,False,False,0,2,69,7,41,14,21,4,374,31920
False,True,True,True,False,False,0,2,75,7,29,2,4,13,341,26564
True,True,True,True,True,True,3,5,190,11,138,34,63,31,749,68989
False,True,True,True,True,True,3,5,169,11,174,24,36,38,699,54695
False,False,False,False,False,False,0,0,139,1,98,19,31,23,520,42740
True,False,False,False,False,False,0,0,146,1,100,18,39,18,499,50164
False,False,False,False,False,False,0,0,1,0,1,0,0,0,25,3744
True,False,False,False,False,False,0,0,0,0,0,0,0,0,47,3986
False,True,False,True,False,True,0,2,131,1,93,13,27,32,648,42073
True,True,False,True,False,True,0,2,133,1,118,25,50,14,427,45102
False,False,False,False,False,False,0,0,140,1,56,8,11,19,472,35643
True,False,False,False,False,False,0,0,82,1,54,23,24,7,650,45914
True,False,True,False,True,True,1,3,152,10,82,25,34,14,519,46916
False,False,True,False,True,True,1,3,121,10,78,6,15,26,427,35056
True,True,True,False,True,False,1,3,80,11,63,21,23,7,586,43795
False,True,True,False,True,False,1,3,91,11,29,4,9,18,553,31177
False,False,False,False,True,False,1,5,140,3,94,30,35,27,744,58613
True,False,False,False,True,False,1,5,179,3,137,23,48,21,676,59733
